database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	modifications	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub
69867				I3COOH				178,999999998			PubChem									
10103438				6HO-I3CHO				202,999999998			PubChem									
9815282				4HO-I3CHO				295,999999998			PubChem									
10256				I3CHO				301,000000002			PubChem									
82758				5MeO-I3CHO				309			PubChem									
5324534				5HO-I3CHO				309			PubChem									
146229				4MeO-I3CHO				346,999999998			PubChem									
589098				I3COOMe				412,999999998			PubChem									
854040				1-Me-I3COOH				345			PubChem									
351795				IAN				399			PubChem									
5281416				Esculetin				211,000000002			PubChem									
5381226				Rifampicin				477			PubChem									
5280802				trans-3,5-Dimethoxy-4-hydroxycinnamaldehyde				316,999999998			PubChem									
12802				3-Acetylindole				322,000000002			PubChem									
5280343				Quercetin Dihydrate				378			PubChem									
5280863				Kaempferol				426			PubChem									
6675				Taurocholic acid sodium salt				430,999999998			PubChem									
72276				Epicatechin				231			PubChem									
637775				Sinapinsaeure				283,000000002			PubChem									
6436550				Hesperidin methyl chalcone				348			PubChem									
444539				Zimtsaeure				384			PubChem									
5281607				Chrysin				517,999999998			PubChem									
73160				Catechin				199,999999998			PubChem									
1794427				Chlorogenic acid				199,999999998			PubChem									
5281404				Harmane				247,000000002			PubChem									
12560				Erythromycin				388,999999998			PubChem									
4788				Phloretin				417			PubChem									
6466				Gibberellic acid				276			PubChem									
4114				Xanthotoxin				426			PubChem									
5770				Reserpine				456			PubChem									
279817				S-Propylglutatione				172,000000002			PubChem									
138387				4-Hydroxy-3,5-dimethylbenzoic acid				295,000000002			PubChem									
717531				3,4 Dimethoxyzimtsaeure				348			PubChem									
5280373				Biochanin A				540			PubChem									
78360				15-Hydroxypentadecanoic acid				619,999999998			PubChem									
72				3,4 Dihydroxybenzoic acid				129			PubChem									
3830				Kinetin				193,000000002			PubChem									
11370				o-Anisic acid				280,000000002			PubChem									
6072				Phlorizin				331,000000002			PubChem									
12305761				Aloin				343,999999998			PubChem									
446641				N-(3-Indolylacetyl)-valine				384			PubChem									
1001				Phenethylamine				114			PubChem									
524508				6-Hydroxyindole				276			PubChem									
5281672				Myricetin				330			PubChem									
5281654				Isorhamnetin				438			PubChem									
5281417				Esculin				178,000000002			PubChem									
8655				Syringaldehyde				270			PubChem									
5280805				Rutin				277,000000002			PubChem									
445858				Ferulic acid				280,000000002			PubChem									
5486549				Sinigrin				NA			PubChem									
681				3-Hydroxytyramine				36			PubChem									
5280536				4-Hydroxy-3-methoxycinnamaldehyde				312			PubChem									
3260292				S-Decylglutathione				492			PubChem									
102213				2-O-Methyladenosine				30			PubChem									
6057				Tyrosine				258			PubChem									
1662				3-Hydroxy-3-methylglutaric acid				NA			PubChem									
6106				Leucine				51			PubChem									
10921447				6-Phosphonohexanoic acid				73,999999998			PubChem									
6140				Phenylalanine				82,999999998			PubChem									
94244				Leu-Leu				220,000000002			PubChem									
6305				Tryptophan				157,000000002			PubChem									
637542				p-Coumaric acid1				258			PubChem									
10465				Heptadecanoic acid				969			PubChem									
1175				Harnsaeure				42			PubChem									
4656408				N-(3-Indolylacetyl)aspartic acid				246			PubChem									
5326566				Lumichrome				312			PubChem									
10459				Hexadecanedioic acid				636			PubChem									
1017				Phtalsaeure				NA			PubChem									
5280896				Abscisinsaeure				360			PubChem									
70095				Octadecanedioic acid				726			PubChem									
60961				Adenosin				42			PubChem									
689043				Kaffeesaeure				210			PubChem									
1491				2,4 Dihydroxybenzoesaure				204			PubChem									
6083				Adenosinmonophosphat				42			PubChem									
72924				6-Hydroxy-pyridin-3-carboxylsaeure				54			PubChem									
289				Catechol				NA			PubChem									
222528				Deoxycholic acid				NA			PubChem									
135				4-Hydroxybenzoic acid				183			PubChem									
20984				3,3 Dimethylglutaric acid				207			PubChem									
5273569				7,8-Dihydroxy-6-methoxycoumarin				241,999999998			PubChem									
3848				3-Phenyllactic acid				259,999999998			PubChem									
15816				Undecanedioic acid				420			PubChem									
